"Id" "type" "z" "Ran_DES_g" "Err_DES_g" "Ran_DES_r" "Err_DES_r" "Ran_DES_i" "Err_DES_i" "Ran_DES_z" "Err_DES_z" "Ran_DES_y" "Err_DES_y"
262899 1 0.6622 22.3241 0.013377 21.2449 0.0075131 20.4677 0.0065619 20.1472 0.00978591 19.9751 0.034918
262902 1 0.6206 22.3878 0.0137311 20.8024 0.00525345 19.8425 0.00385494 19.3721 0.00512807 19.1524 0.0180965
262904 1 0.6621 22.5422 0.0158228 21.4924 0.00918472 20.7963 0.00845074 20.4978 0.0132071 20.3911 0.0474834
263240 1 1.0003 22.9552 0.0218501 22.2161 0.0168108 21.3832 0.0136946 20.9206 0.0185662 20.7576 0.0664122
263324 1 0.3 21.7369 0.00822725 20.3804 0.00367144 19.8988 0.00406527 19.687 0.00659877 19.5533 0.0239989
263325 1 0.6398 23.9907 0.0531907 22.2325 0.0171904 21.1681 0.0115806 20.7124 0.015389 20.5442 0.0534062
263538 1 0.3586 21.5397 0.00692273 19.9677 0.00261891 19.3895 0.00266236 19.1419 0.00422438 19.001 0.0154843
264033 1 0.3702 22.0551 0.0106227 20.897 0.00567661 20.5101 0.00670684 20.3131 0.0109824 20.1821 0.0414758
264737 1 0.3671 21.96 0.00983885 21.2451 0.00755474 21.1415 0.0112774 20.896 0.0184012 21.0056 0.0776484
264774 1 0.6908 23.045 0.0238707 22.0913 0.0152837 21.4535 0.0150152 21.2683 0.0250972 21.3368 0.0924831
264945 1 0.07 20.8767 0.00399419 20.5726 0.00431718 20.4074 0.00619436 20.2998 0.0111164 20.2246 0.0429043
265440 1 0.32 22.0573 0.0106593 21.3523 0.00829643 21.2126 0.0120226 21.0939 0.0210547 21.0709 0.0844427
265470 1 0.3527 22.1116 0.0110407 21.2586 0.00768132 21.0729 0.010712 20.8936 0.0182239 20.7627 0.0728112
265510 1 0.5802 23.1164 0.0250285 21.325 0.00802926 20.3565 0.00595452 19.9426 0.00814413 19.8582 0.0292158
265887 1 0.2628 21.8187 0.0086749 20.6597 0.00458731 20.0457 0.00459133 19.7763 0.00713021 19.5734 0.0251177
265973 1 0.6596 23.4292 0.0321471 22.2415 0.0171023 21.4126 0.0142478 21.0552 0.0205973 20.9975 0.073166
266076 1 0.3651 21.5288 0.0068087 20.5154 0.00411776 20.2347 0.00539727 19.8338 0.00746088 19.9321 0.0318835
266213 1 0.3685 22.0319 0.0103118 21.2249 0.00748746 21.0781 0.0109316 20.9254 0.0184225 20.8804 0.0755703
266327 1 0.4593 23.0502 0.0236748 21.9274 0.0131907 21.5412 0.0158749 21.3056 0.0255972 21.3251 0.095658
266507 1 0.3117 21.3968 0.00615233 20.377 0.00367198 20.0103 0.00445815 19.499 0.00568914 19.5958 0.0249839
266648 1 0.3035 21.4169 0.00631338 20.7055 0.00481023 20.4282 0.00629484 20.1852 0.0100495 20.1837 0.0425986
266693 1 0.7288 24.2358 0.0649217 22.601 0.023082 21.3783 0.0137756 20.8986 0.0182198 20.6868 0.0597241
266734 1 1.0139 23.8806 0.0511264 23.0142 0.0323727 22.0571 0.0245755 21.4144 0.0280403 21.322 0.0959029
266992 1 0.4577 21.4358 0.00634416 20.2656 0.00335099 19.8559 0.00390823 19.6169 0.00622205 19.5111 0.0231455
267044 1 0.6314 23.124 0.0265369 21.9452 0.0135609 21.1776 0.011753 20.8427 0.0173479 20.6938 0.0626011
267202 1 0.5151 22.6332 0.0171725 21.4985 0.00925446 21.1638 0.0113475 20.8946 0.0178438 20.7629 0.0604265
267247 1 0.6539 23.3814 0.0319849 22.1238 0.0156144 21.3021 0.0129135 20.9579 0.0187866 20.8403 0.0667355
267372 1 0.23 21.3186 0.00575419 20.4216 0.00380227 20.0783 0.00474905 19.9096 0.00791965 19.8145 0.0291563
267965 1 0.8585 23.5564 0.0357838 22.5703 0.0225687 21.5404 0.0156782 21.0761 0.0210055 20.7941 0.0757383
268127 1 0.6775 23.4632 0.0360717 21.9858 0.0135753 21.054 0.0106943 20.7604 0.0162307 20.5941 0.0581681
268349 1 0.93 22.6023 0.0163731 22.1232 0.0157157 21.353 0.0135053 21.0802 0.0211788 21.0218 0.0783862
268478 1 0.4222 21.8123 0.00864118 20.7896 0.00518647 20.4826 0.0065925 20.2894 0.0109009 20.2043 0.0418735
269032 1 0.3504 21.8882 0.00926479 20.6476 0.00461502 20.204 0.00524809 20.0046 0.00854214 19.8775 0.0317946
269081 1 0.3737 22.7003 0.0181074 21.7243 0.0113383 21.5263 0.0152794 21.3337 0.0252664 21.2058 0.0997525
269396 1 0.3688 21.8235 0.00873115 20.8084 0.00524236 20.472 0.00654377 20.2921 0.0109895 20.2309 0.0418984
269397 1 0.39 20.7912 0.0037097 19.0679 0.00124381 18.4403 0.00121676 18.1587 0.00186568 18.0325 0.00681048
269423 1 0.3641 23.1965 0.0274838 21.7067 0.0111583 21.209 0.0119409 20.9779 0.0193827 20.806 0.072045
269511 1 0.6604 22.8291 0.0201525 21.9279 0.013393 21.4025 0.0140883 21.2395 0.0240636 21.2946 0.0888546
269525 1 1.0191 22.8087 0.0199888 22.3008 0.0178875 21.5697 0.0162337 21.2139 0.022735 20.9566 0.0818696
269645 1 0.3508 22.7953 0.0193942 21.4112 0.00863693 20.8988 0.0093364 20.6448 0.0148326 20.5501 0.0546267
270278 1 0.2199 22.1118 0.010956 21.5039 0.00932985 21.1477 0.011407 21.158 0.0224244 21.1957 0.0848238
270862 1 0.5179 22.5091 0.015232 21.1378 0.00688128 20.5732 0.00707164 20.2781 0.0106951 20.1397 0.0392172
271027 1 0.6497 22.6185 0.0167693 21.6326 0.0104021 21.0712 0.010726 20.8711 0.0177979 20.6507 0.0649
271028 1 0.5546 22.9699 0.0235346 21.6334 0.0105631 20.9363 0.00970147 20.6194 0.0142469 20.4044 0.0512643
271386 1 0.5989 24.3466 0.0695802 22.5609 0.0219564 21.4676 0.0151376 20.9917 0.0195787 20.7822 0.0683457
271945 1 0.6632 23.1114 0.024892 22.0988 0.0153312 21.491 0.0154036 21.3138 0.0255892 21.2308 0.0935619
272117 1 0.2616 22.1936 0.0118782 21.393 0.00854967 21.1535 0.0114981 21.0578 0.0205532 20.9855 0.0787991
272426 1 0.6632 22.5661 0.0160444 21.722 0.0111535 21.2239 0.0122374 21.0706 0.0212514 20.9523 0.0798743
272460 1 0.5092 20.5835 0.00311923 19.658 0.00203038 19.391 0.00266232 19.0959 0.00407635 18.7724 0.0126834
272461 1 0.5367 23.4201 0.0325854 21.9105 0.0129183 21.2856 0.0128765 20.9942 0.018785 20.5193 0.0561402
272611 1 0.4028 20.8559 0.00390462 19.866 0.0024064 19.5584 0.00305362 19.3731 0.00508466 19.2887 0.0196058
273490 1 1.0059 23.3505 0.0305766 22.4831 0.0219775 21.6877 0.017727 21.0632 0.0206826 20.8866 0.0720196
276994 1 0.6394 23.6351 0.0397051 21.8927 0.0128354 20.8157 0.00865154 20.3463 0.0114967 20.1519 0.0399147
277085 1 0.3173 22.8172 0.0193349 21.8783 0.012537 21.6206 0.0166722 21.1892 0.0228679 21.2764 0.0986765
277086 1 1.04 24.1663 0.0616922 22.2697 0.0176624 21.2161 0.0121671 20.4263 0.0122393 20.2395 0.0398815
277179 1 0.8645 22.8944 0.0216675 22.3758 0.0191358 21.5313 0.0160087 21.2799 0.0249216 21.1164 0.095373
277196 1 0.7975 23.3479 0.0303037 22.4343 0.0202763 21.5218 0.0154746 21.1968 0.023376 21.0974 0.0851918
277545 1 0.3954 23.5345 0.0376065 22.0108 0.0140853 21.4443 0.0145925 21.1643 0.0229818 21.0196 0.0852649
277546 1 0.312 20.1313 0.00214746 19.3698 0.00159709 19.1104 0.0021193 18.6973 0.00290974 18.8208 0.0131085
277736 1 0.669 23.6385 0.0391711 21.977 0.0137664 20.9764 0.0100686 20.6266 0.0142494 20.4221 0.0495009
277902 1 0.607 22.4537 0.014612 21.6801 0.0109611 21.3464 0.0134728 21.2468 0.0240664 21.1174 0.0861182
277919 1 0.28 21.9005 0.00933609 21.261 0.00771569 21.0427 0.010589 20.9632 0.0192333 21.0021 0.0755398
277926 1 1.0818 24.0979 0.0540019 23.0193 0.0322719 22.1502 0.0261025 21.3615 0.0264853 21.2327 0.0873099
277980 1 0.24 18.5239 0.000575998 17.4749 0.000345914 17.0783 0.00040448 16.8871 0.000656841 16.7449 0.00236758
277983 1 0.4719 23.8442 0.0444038 22.4511 0.0206639 22.0369 0.0235028 21.5492 0.0312817 21.2315 0.0909649
278060 1 0.1551 22.1303 0.0113093 21.43 0.00881421 21.1711 0.0117286 21.0046 0.019816 20.8659 0.0751357
278319 1 0.5087 23.853 0.048289 22.216 0.0164619 21.3828 0.0139566 20.9817 0.0192957 20.6887 0.0657826
278345 1 0.11 21.2093 0.0052339 20.7505 0.00501984 20.5 0.00671553 20.3931 0.0118601 20.2686 0.0448249
278583 1 0.4407 23.4818 0.0333896 21.9778 0.0139589 21.4286 0.0147063 21.1748 0.022512 20.9996 0.0834077
278670 1 0.4824 22.0237 0.0104588 21.1759 0.00717262 20.9966 0.0101608 20.8242 0.0170747 20.6705 0.0594253
278674 1 0.3602 20.4574 0.00280993 19.2601 0.00145819 18.8276 0.00167767 18.6141 0.00271754 18.5236 0.0101936
278763 1 0.5199 23.7519 0.044069 22.4997 0.0210681 22.0019 0.0232543 21.6347 0.0327349 21.0446 0.0941758
278982 1 0.4079 22.8016 0.0196419 21.4367 0.0089257 20.9906 0.00988979 20.7254 0.0155342 20.5823 0.0585562
279018 1 0.22 20.8151 0.00379762 20.362 0.00363898 20.1379 0.00496698 20.1387 0.00957783 20.0385 0.037142
279201 1 0.4631 24.3508 0.0673416 22.4491 0.0209153 21.7055 0.0186311 21.3816 0.0263888 21.321 0.0939952
279254 1 0.5287 22.9542 0.0220536 21.2453 0.00752514 20.4516 0.00639717 20.0737 0.00908405 19.9595 0.0333445
279364 1 0.3203 21.604 0.00730803 20.7764 0.00513311 20.5438 0.00697026 20.349 0.0112896 20.3075 0.0453145
279445 1 0.4513 21.8472 0.00877471 20.5241 0.00414015 20.1374 0.00496229 19.6826 0.00657921 19.4619 0.0222992
279651 1 0.23 21.1663 0.00507794 20.4985 0.00406134 20.2419 0.00539428 20.1234 0.00960638 20.04 0.0366161
279791 1 0.7005 21.8051 0.00864266 21.0836 0.00658426 20.559 0.0070312 20.4375 0.01221 20.2837 0.0458102
280015 1 0.23 21.0176 0.00448468 20.2892 0.00340872 20.0092 0.00446383 19.8729 0.0076715 19.7427 0.0287182
280039 1 0.9628 23.1343 0.0251296 22.3322 0.0186082 21.3322 0.0131843 20.8419 0.0176032 20.6714 0.0621888
280251 1 0.09 21.8358 0.00889458 21.4631 0.00892682 21.2704 0.0126715 21.1781 0.0226385 21.2942 0.0869756
280335 1 0.7384 22.3534 0.0132797 21.7581 0.0113518 21.243 0.01234 21.1165 0.0221538 21.0405 0.0865996
280346 1 0.17 21.4118 0.00619554 20.9866 0.00605128 20.8226 0.00870567 20.7524 0.0161687 20.6788 0.0630863
280483 1 0.005 21.7725 0.00840378 21.257 0.00757971 21.057 0.0106218 20.9128 0.0182314 20.8119 0.0692584
280806 1 0.5873 22.4038 0.0141309 21.18 0.00719526 20.5467 0.00700231 20.2696 0.0107647 20.1297 0.0398109
280807 1 0.3858 23.2565 0.0298036 21.7407 0.0112525 21.191 0.0116908 20.9228 0.0185394 20.7464 0.0686367
280836 1 0.6964 22.9201 0.0211774 21.8752 0.0127121 21.2029 0.0117384 20.9517 0.0189489 20.7692 0.0686288
280939 1 0.3523 21.4624 0.00641784 20.6823 0.00474464 20.5293 0.0068236 20.2965 0.0110775 20.3509 0.0460709
281082 1 0.5368 22.6125 0.0168029 21.6973 0.0111048 21.4523 0.0146841 21.3549 0.0258906 21.2854 0.087379
281137 1 0.4926 22.6586 0.0174117 21.4983 0.00928057 21.1416 0.0115627 20.8934 0.0180201 20.6659 0.0609255
281243 1 0.4698 22.6854 0.0178423 20.992 0.00612276 20.3161 0.00572616 19.9737 0.00842232 19.8746 0.0310853
281276 1 0.67 23.6907 0.0418215 22.1353 0.0159085 21.0537 0.010703 20.6344 0.0145674 20.4526 0.0491045
281392 1 0.17 20.0437 0.00199898 18.933 0.00111286 18.5323 0.00131262 18.2408 0.00199403 18.09 0.00715198
281484 1 0.1613 20.4736 0.00284295 19.9886 0.00265754 19.7243 0.00351595 19.6344 0.00635535 19.5481 0.0242399
281642 1 0.8718 24.5428 0.0821331 22.3827 0.0194309 21.1857 0.0118268 20.4573 0.0124853 20.211 0.0433915
281839 1 0.8683 24.0568 0.0534745 22.5157 0.022447 21.3479 0.0134193 20.705 0.0149601 20.4777 0.0522448
281843 1 0.2918 22.9187 0.0217744 21.439 0.00880789 20.9007 0.00933002 20.6601 0.0147989 20.4665 0.0528168
281847 1 0.3667 22.1222 0.01139 21.419 0.00877982 21.341 0.0132762 21.2234 0.0231627 21.2249 0.0953758
281894 1 0.3583 22.4075 0.0141845 21.5584 0.00974107 21.348 0.0135866 21.1991 0.0231471 21.0893 0.0923328
281934 1 0.5499 22.3211 0.0130522 21.4812 0.00923668 21.1988 0.0121516 21.1107 0.0217386 20.9139 0.0707472
282402 1 0.5113 23.7956 0.0435946 22.0521 0.014721 21.3348 0.0130215 20.9148 0.0184138 20.7498 0.0654026
282437 1 0.1909 20.9677 0.00430874 20.3785 0.00367635 20.1223 0.00488467 20.0197 0.00873411 19.8962 0.0332925
282604 1 0.1991 21.7568 0.00830866 21.0315 0.00631541 20.7869 0.00851891 20.6664 0.0149784 20.5488 0.0569451
282716 1 1.1752 24.4337 0.0749737 23.5074 0.0481786 22.6623 0.0390541 21.6133 0.0333883 21.2056 0.0967072
282738 1 0.29 21.2496 0.00542129 19.7633 0.0022001 19.2312 0.00233492 18.9843 0.00370356 18.8151 0.0132147
283033 1 0.3312 22.2452 0.0123697 21.3715 0.00826719 21.0615 0.0105643 20.8804 0.0178502 20.8032 0.0677897
283081 1 0.2052 22.0157 0.0102568 21.3925 0.00852891 21.2088 0.011877 21.1479 0.0213974 21.1086 0.0825976
283167 1 0.2023 22.1904 0.0119532 21.5894 0.0100829 21.3354 0.0134107 21.2471 0.0239411 21.2465 0.0916933
283342 1 0.3005 20.1705 0.00222721 18.9929 0.00117101 18.5236 0.00130411 18.2692 0.00205054 18.1734 0.00772343
283543 1 0.4196 23.8085 0.0453718 22.1522 0.0159597 21.5188 0.0157574 21.2284 0.023516 21.0407 0.0868988
283625 1 0.3164 21.8172 0.00869593 20.3799 0.00371497 19.8619 0.00393649 19.5868 0.00608284 19.4448 0.0218276
283682 1 0.8304 23.9532 0.0508704 22.1578 0.016393 20.8221 0.00885299 20.1911 0.00998808 19.9133 0.0332796
283803 1 0.025 21.6877 0.0077503 21.469 0.00918047 21.3758 0.0137122 21.1981 0.0245125 21.2004 0.0959706
283854 1 0.3463 22.2785 0.0127713 21.4614 0.00890211 21.2493 0.0124578 20.9897 0.0195008 21.0709 0.0809686
283988 1 0.09 20.5622 0.00307756 20.1559 0.00306269 19.9793 0.00435281 19.8904 0.00776195 19.7986 0.0298185
284031 1 0.1376 21.2219 0.00527574 20.8146 0.00527166 20.5605 0.00703967 20.5038 0.0130386 20.5064 0.0497646
284143 1 0.3174 20.8477 0.00389425 19.9156 0.00250439 19.5986 0.00318019 19.2521 0.00464787 19.2687 0.0189029
284561 1 0.5409 23.052 0.0237654 21.3413 0.00809666 20.4779 0.00660203 20.0648 0.00903663 19.9352 0.0325305
284567 1 0.991 24.8114 0.093952 22.6881 0.0245574 21.573 0.016807 20.828 0.0169714 20.588 0.0573251
284569 1 0.5049 22.8687 0.0208337 21.8569 0.012439 21.5604 0.0161767 21.3144 0.0265361 21.0844 0.0908415
284570 1 0.5456 22.3768 0.0137331 21.1063 0.00667988 20.5597 0.00695616 20.2795 0.0107455 20.149 0.0399818
284571 1 0.925 21.5689 0.00712316 21.17 0.00704496 20.4513 0.00645226 20.2766 0.0108419 20.1796 0.0417174
284572 1 0.5263 23.3087 0.0301295 21.8912 0.0128542 21.2576 0.0125001 20.9172 0.0184156 20.7295 0.0677539
284623 1 0.3684 21.557 0.00696907 20.3787 0.00369291 20.0402 0.00456175 19.5221 0.00576641 19.5682 0.0249501
284735 1 0.3749 22.7586 0.0187064 21.3035 0.00789999 20.7989 0.00836721 20.4931 0.0129913 20.3626 0.0482488
285150 1 0.7002 22.0611 0.0107519 21.2267 0.00743047 20.6433 0.00750923 20.4745 0.0126997 20.4116 0.0471166
285307 1 0.3409 21.6642 0.00769448 20.3969 0.003746 19.944 0.00422691 19.7334 0.00680598 19.6246 0.0252118
285369 1 0.5422 21.8866 0.00909504 20.5506 0.00422787 20.0186 0.00446619 19.7081 0.00679127 19.4535 0.0225958
285377 1 0.5287 22.4439 0.0146005 21.4891 0.00934311 21.2765 0.012555 21.073 0.0218843 20.9373 0.0767499
285544 1 0.43 21.9641 0.00970228 20.2025 0.00316249 19.5499 0.00303917 19.2261 0.00449793 19.1084 0.0165922
285735 1 0.4892 23.6216 0.0392718 22.1727 0.016251 21.5884 0.0166052 21.2292 0.0247443 20.941 0.0911784
286168 1 0.9 22.4816 0.0155443 21.8334 0.0121732 20.8952 0.00931394 20.5169 0.0132852 20.383 0.0494796
286267 1 1.2048 23.3474 0.0298983 22.5439 0.0221677 21.8711 0.0209402 21.0534 0.0200898 20.7705 0.0635016
286396 1 0.538 22.9618 0.0217609 21.7043 0.0110654 21.2898 0.0127521 21.065 0.0205216 20.8446 0.0694289
286563 1 0.5232 22.3437 0.0134499 21.5039 0.00936059 21.2609 0.0126154 21.1074 0.0210427 20.763 0.0674511
286565 1 0.5194 23.0362 0.0234246 21.2237 0.00749796 20.424 0.00626633 20.0213 0.008767 19.8911 0.0319933
286619 1 0.3195 22.0258 0.010362 21.2995 0.00783186 21.1281 0.0111556 20.718 0.015473 20.8758 0.0704485
286620 1 0.3582 21.7383 0.008157 20.9496 0.00593077 20.8072 0.00855814 20.5767 0.0139045 20.5579 0.0577755
286919 1 0.1142 20.8378 0.00387664 20.4622 0.00393695 20.2262 0.0053597 20.1711 0.00984916 20.1546 0.0378996
286935 1 0.2296 22.7972 0.0196867 21.5025 0.00939937 21.0714 0.0105236 20.7805 0.0165917 20.6954 0.0594479
287026 1 0.09 21.2005 0.005222 20.9731 0.00604327 20.8683 0.00908294 20.7918 0.0169528 20.7444 0.0662296
287091 1 0.6801 24.3215 0.0689797 22.6676 0.0247524 21.7131 0.0184964 21.3486 0.0267253 21.1693 0.0933781
287092 1 0.6975 22.6504 0.0172938 21.6853 0.010914 21.0546 0.0105069 20.8448 0.0173719 20.8074 0.0637948
287275 1 0.6776 23.3424 0.0317733 21.5435 0.0096677 20.4224 0.00625085 19.9677 0.00829918 19.6658 0.0278702
287784 1 0.8276 24.6143 0.0880619 22.7353 0.0260189 21.5579 0.0162162 20.9927 0.0197361 20.7997 0.0677883
288137 1 0.9939 24.1234 0.0610236 23.1258 0.0357222 22.091 0.0255493 21.4708 0.0287904 21.2683 0.0976127
288209 1 0.5958 24.3128 0.0613037 22.6609 0.0239704 21.7713 0.019093 21.4385 0.0276649 20.9317 0.0997691
288359 1 0.7151 22.279 0.0126122 21.4975 0.00932433 20.9313 0.00963463 20.7972 0.0165742 20.704 0.0628101
288675 1 0.478 22.7611 0.0190395 20.9934 0.00615769 20.2684 0.00551974 19.9222 0.00793702 19.7498 0.029108
288762 1 0.1561 20.999 0.00438614 20.4288 0.00385712 20.2243 0.00533742 20.1084 0.00937585 20.0079 0.0361605
288876 1 0.07 21.3552 0.00594917 21.1772 0.00717999 21.1406 0.0113885 21.1484 0.0211918 21.0153 0.0808639
289404 1 0.1721 21.8965 0.00926954 21.4197 0.00881473 21.1989 0.0119925 21.1801 0.0227532 21.12 0.0878431
289566 1 0.23 20.6019 0.00317662 19.6206 0.00196981 19.1369 0.00216406 18.9051 0.00346415 18.7443 0.0124525
289647 1 0.1601 20.1536 0.00219782 19.743 0.00217066 19.5232 0.00298594 19.4676 0.00550285 19.3795 0.0212257
289953 1 0.7 23.056 0.0245603 21.1878 0.00726788 20.0438 0.00459365 19.5872 0.00605287 19.3348 0.0201
290369 1 0.2251 21.5618 0.007031 21.1021 0.0067637 20.9888 0.00995805 20.9696 0.0189961 20.8975 0.0753361
290371 1 0.3207 22.5158 0.0157957 21.4861 0.0091734 21.1518 0.0114303 20.9502 0.018862 20.8334 0.0720048
290374 1 0.1836 21.9517 0.00963534 21.2405 0.00750874 20.9849 0.0100229 20.865 0.0172138 20.6885 0.06559
290781 1 0.46 22.0024 0.0102158 20.7678 0.00507789 20.3118 0.00572036 20.053 0.0089718 19.8724 0.0330358
290894 1 0.5896 22.8268 0.0199574 21.8 0.0120547 21.365 0.0138467 21.2447 0.0234588 21.2741 0.08461
290999 1 0.5778 23.3299 0.031189 21.6598 0.010589 20.7273 0.00820726 20.3567 0.0114703 20.2289 0.0414775
291206 1 0.2106 22.3814 0.0138448 21.2077 0.00731242 20.815 0.00867341 20.6144 0.0141042 20.3885 0.0519576
291295 1 0.3576 21.827 0.00880205 20.986 0.00605006 20.7899 0.00850049 20.4735 0.0126534 20.4812 0.0542363
291492 1 0.643 22.5355 0.015887 21.6812 0.0108229 21.2264 0.0121518 21.1321 0.0210797 20.8807 0.0794174
291732 1 0.23 20.5617 0.00306591 19.3144 0.00152727 18.8596 0.00171412 18.6079 0.00270724 18.4227 0.00964301
291753 1 0.997 22.7177 0.0184725 21.8957 0.0129111 20.8701 0.00903452 20.3012 0.011166 20.1685 0.0385036
291759 1 0.359 21.6242 0.00741876 20.1774 0.00312185 19.654 0.00330111 19.4233 0.00526463 19.2423 0.0193467
291766 1 0.2131 21.8654 0.0090803 20.5533 0.00428905 20.1149 0.00486929 19.8673 0.00767999 19.6994 0.0277941
291927 1 0.1945 22.303 0.0128666 21.6184 0.0103451 21.4263 0.0142006 21.284 0.0253205 21.3771 0.096958
292143 1 0.3548 21.8246 0.0087388 20.9852 0.00606807 20.7831 0.00845243 20.631 0.0143904 20.5537 0.0574469
292918 1 0.6302 21.9496 0.00955441 21.3486 0.00820513 21.1157 0.0109741 21.0501 0.0205758 21.1008 0.0801511
293096 1 0.765 21.9577 0.0098584 21.0599 0.00650238 20.2537 0.00546176 19.9962 0.00854766 19.8694 0.0315064
293113 1 0.6104 23.7947 0.0436914 21.9923 0.0140046 20.9228 0.00949912 20.4168 0.0121098 20.2343 0.0422934
293194 1 0.9847 23.9587 0.0505152 22.152 0.0156674 21.067 0.0108222 20.354 0.0115854 20.1283 0.0403073
293348 1 0.2496 22.006 0.0101924 21.1587 0.00697212 20.8381 0.00886313 20.6829 0.0151766 20.6658 0.0565769
293562 1 0.5824 23.8252 0.0451463 22.1657 0.0163975 21.3642 0.0134952 20.9936 0.0195733 20.7594 0.0715815
293760 1 0.7008 22.6421 0.0173483 21.8344 0.0123694 21.2336 0.0125694 21.1519 0.0217407 21.0763 0.0813402
293830 1 0.6715 22.8252 0.020301 21.9063 0.0129814 21.1978 0.0119949 20.9361 0.0185631 20.6724 0.0667406
293876 1 0.1896 21.6734 0.0077354 21.0931 0.00661451 20.8864 0.00926079 20.7811 0.0165807 20.7407 0.063991
294064 1 0.5092 21.8849 0.00922956 20.5837 0.00433683 20.0784 0.0046816 19.7842 0.00717438 19.654 0.0266966
294338 1 0.1707 21.5784 0.00708175 20.9972 0.00607803 20.7833 0.00838987 20.6496 0.0147323 20.5532 0.0568219
294521 1 0.25 20.1727 0.00222736 19.1828 0.00136898 18.805 0.00164357 18.6352 0.00276017 18.4798 0.0100978
295015 1 0.833 24.7447 0.0920572 22.8973 0.0299712 21.7741 0.019441 21.2377 0.0247224 21.1185 0.0869296
295303 1 0.3398 23.0421 0.0238817 21.8775 0.0127308 21.5044 0.0153305 21.3087 0.025029 21.1318 0.0957232
295359 1 0.5542 22.6975 0.017913 21.8039 0.011997 21.5394 0.015609 21.3994 0.027649 21.3559 0.0956568
